                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2829,                 3.9557,                 1.7914,                      0,                      0,                      0,                      0,                  2.229,                 3.9783,                 1.6868,             0.00024293,             0.00024293,             0.00024293
                      2,                 2.1654,                 3.4166,                 1.6129,                      0,                      0,                      0,                      0,                 2.0366,                  3.681,                  1.497,             0.00045064,             0.00045064,             0.00045064
                      3,                 2.0359,                 2.8454,                   1.59,                      0,                      0,                      0,                      0,                 2.1935,                  2.986,                 1.6873,             0.00060741,             0.00060741,             0.00060741
                      4,                 1.9634,                 2.3879,                 1.5883,                 0.5639,                0.19661,                0.36155,                0.19349,                  2.096,                  2.219,                 1.7126,             0.00071326,             0.00071326,             0.00071326
                      5,                 1.8612,                  2.107,                 1.5128,                0.49351,                0.18512,                0.33071,                0.15789,                 2.1627,                 2.1734,                 1.7094,             0.00076817,             0.00076817,             0.00076817
                      6,                 1.8239,                 2.0657,                  1.501,                0.42593,                 0.3291,                0.36781,                0.17743,                 1.8643,                 2.3087,                 1.5233,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.8055,                 1.9348,                 1.4684,                0.49451,                 0.3176,                0.40036,                0.17724,                 1.8386,                 2.1962,                 1.4448,             0.00058017,             0.00058017,             0.00058017
                      8,                  1.714,                 1.7698,                 1.3914,                0.63158,                0.28312,                0.45658,                0.22467,                  1.896,                 1.9615,                 1.4715,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.6287,                 1.7542,                 1.3631,                   0.65,                0.28857,                0.47356,                0.23901,                 1.8656,                 1.8134,                 1.4805,             0.00029723,             0.00029723,             0.00029723
                     10,                  1.591,                  1.614,                 1.3414,                0.64815,                0.24803,                0.45089,                0.23256,                 1.7978,                 1.7451,                 1.4411,             0.00015576,             0.00015576,             0.00015576
