                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9517,                  2.247,                 1.5641,                0.80659,                0.19962,                0.50228,                 0.2638,                 1.9006,                  1.699,                 1.5031,             0.00047578,             0.00047578,             0.00047578
                      2,                 1.8555,                 1.7182,                 1.4763,                0.85703,                0.16385,                0.51141,                 0.2995,                  1.844,                  1.669,                 1.4591,             0.00085786,             0.00085786,             0.00085786
                      3,                 1.8113,                 1.5852,                 1.4494,                 0.9425,                0.16238,                0.55346,                0.32583,                  1.766,                 1.4548,                 1.4293,              0.0011456,              0.0011456,              0.0011456
                      4,                 1.7649,                  1.495,                 1.4207,                0.95105,                0.21648,                0.58798,                0.33214,                 1.7851,                 1.4453,                 1.4146,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.7157,                 1.4077,                 1.3926,                0.97992,                0.18489,                0.58391,                0.38437,                 1.6987,                 1.3337,                 1.3567,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.6587,                 1.3329,                 1.3634,                0.94158,                 0.3258,                0.63683,                0.39837,                 1.6512,                 1.2467,                 1.3325,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.6247,                 1.2736,                 1.3362,                0.92623,                0.33687,                0.63635,                0.40246,                 1.6227,                 1.1778,                 1.3297,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.5888,                 1.2163,                 1.3201,                 0.9028,                0.38723,                0.64973,                0.40721,                 1.5956,                 1.1309,                 1.3226,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.5489,                 1.1641,                 1.3023,                0.91322,                0.37339,                0.64833,                0.41404,                 1.5737,                 1.1135,                 1.3023,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.5117,                  1.123,                 1.2832,                0.93908,                 0.4079,                0.67879,                0.43301,                 1.5436,                 1.0689,                 1.2864,             0.00015576,             0.00015576,             0.00015576
