                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3188,                 4.0298,                 1.8616,                      0,                      0,                      0,                      0,                 2.3126,                 3.8779,                 1.6052,             0.00024293,             0.00024293,             0.00024293
                      2,                 2.0376,                 3.3894,                 1.5886,                      0,                      0,                      0,                      0,                 2.3683,                 3.5819,                 1.5315,             0.00045064,             0.00045064,             0.00045064
                      3,                 2.0111,                 2.9114,                 1.5351,                      0,                      0,                      0,                      0,                 2.5165,                 3.0925,                 1.5669,             0.00060741,             0.00060741,             0.00060741
                      4,                 1.9638,                 2.4448,                 1.5256,                0.66667,                0.07143,                0.36904,                0.24052,                 2.3042,                 2.5219,                 1.5979,             0.00071326,             0.00071326,             0.00071326
                      5,                 1.8038,                 2.2046,                 1.3964,                0.52003,                0.06508,                0.28604,                0.13804,                 2.1998,                 2.4366,                 1.5563,             0.00076817,             0.00076817,             0.00076817
                      6,                 1.7662,                 2.1418,                 1.4167,                0.28889,                0.14444,                0.22048,                0.10455,                 2.0525,                  2.202,                   1.56,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.7761,                 1.9441,                 1.3976,                0.29412,                0.16667,                0.23351,                0.12539,                 2.0488,                 2.1581,                 1.5229,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.6816,                 1.7806,                 1.3366,                0.62963,                0.24127,                0.44279,                0.22069,                 2.0589,                 2.0467,                  1.484,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.6998,                 1.7818,                 1.3325,                0.64706,                0.24127,                0.44804,                0.21948,                 2.0855,                 1.9678,                 1.4836,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.6308,                 1.6876,                 1.2959,                0.64706,                 0.2254,                0.44011,                0.24306,                  2.038,                 1.8727,                 1.4493,             0.00015576,             0.00015576,             0.00015576
